EndSimTime,1000.0
Number Of Queue,3
Size Of Queue,15
Mean InterArrival time per Queue,1.0,4.0,4.0,
Service Time,10.0
Network Switching Time,3.0
Scheduling Policy,WFQ

Queue 0

QueueID,PacketID,ArriveQ,nsTime,ArriveServer,DepartServer,WaitingTime,ServiceTime,ResponseTime
0,0,0.0,0.0,0.0,15.634199187386985,0.0,15.634199187386985,15.634199187386985
0,1,2.350042145062745,3.0,34.1777384307139,35.44586354596959,28.827696285651157,1.2681251152556854,33.09582140090684
0,2,3.297619219471157,3.0,74.56694299407995,75.90776706858769,68.2693237746088,1.340824074507741,72.61014784911653
0,3,3.606133137373931,3.0,87.99052819866893,88.70716525755799,81.384395061295,0.716637058889058,85.10103212018406
0,4,3.7694136400734384,3.0,103.64226554240494,106.14323175632887,96.8728519023315,2.500966213923926,102.37381811625544
0,5,8.764830086440384,3.0,128.0384868518541,133.08660059688245,116.27365676541369,5.0481137450283615,124.32177051044205
0,6,10.190200439392068,3.0,189.18573845650758,194.06635620908148,175.9955380171155,4.8806177525738965,183.8761557696894
0,7,10.456837201880408,3.0,208.1402104612006,218.93521636390588,194.6833732593202,10.795005902705258,208.47837916202548
0,8,10.70703040031745,3.0,241.3742722002271,243.1675147009397,227.66724179990965,1.7932425007126198,232.46048430062226
0,9,11.116125237450126,3.0,264.29779815313685,279.73687966418663,250.18167291568673,15.43908151104978,268.62075442673654
0,10,11.930004591651448,3.0,314.976635286163,339.3958533152795,300.0466306945116,24.41921802911648,327.465848723628
0,11,14.045610767702936,3.0,376.44298847986806,376.99851804663575,359.3973777121651,0.5555295667677094,362.9529072789328
0,12,14.429601094370065,3.0,391.9717607912261,404.3095686917857,374.542159696856,12.337807900559646,389.87996759741566
0,13,17.153152842855075,3.0,431.36923053447106,468.7026878383325,411.21607769161596,37.33345730386143,451.5495349954774
0,14,17.180060676485088,3.0,488.6530781689933,505.47168553973694,468.47301749250823,16.818607370743603,488.29162486325185
0,15,19.3655317930286,3.0,558.1120597021022,577.4879896376561,535.7465279090736,19.37592993555393,558.1224578446275
0,16,32.846223565277946,3.0,603.2758330214283,621.1771844591125,567.4296094561504,17.901351437684202,588.3309608938346
0,17,74.4313919357062,3.0,642.8185187524095,666.0744755125047,565.3871268167034,23.255956760095135,591.6430835767985
0,18,87.3101081853964,3.0,681.1024169390396,684.0752329227226,590.7923087536432,2.9728159836831063,596.7651247373262
0,19,100.86352791766366,3.0,747.4152183416574,763.5569889603984,643.5516904239937,16.141770618741013,662.6934610427347
0,20,126.51566074635306,3.0,783.381450019449,797.7132553675984,653.8657892730959,14.331805348149455,671.1975946212453
0,21,186.7862608991853,3.0,819.8168410614526,821.0877370594044,630.0305801622673,1.2708959979518557,634.3014761602191
0,22,206.50403341745596,3.0,840.0249073778161,841.7471416848832,630.5208739603602,1.7222343070670416,635.2431082674273
0,23,239.719586926411,3.0,888.9185578520752,894.9234148540274,646.1989709256642,6.004857001952205,655.2038279276164
0,24,262.59435293362253,3.0,933.7235516417063,935.0542371705384,668.1291987080838,1.3306855288320636,672.4598842369159
0,25,312.0438279962799,3.0,951.6837558209097,952.9232758636435,636.6399278246298,1.2395200427338486,640.8794478673636
0,26,373.59683690448406,3.0,995.3535188320423,1059.0487506321783,618.7566819275582,63.69523180013605,685.4519137276943
Number of Packets served,27
Avg. Waiting Time,390.4029740448227
Avg. Response Time,405.1483254520695
Throughput per Queue,0.027
Number of Packets Droped,993

Queue 1

QueueID,PacketID,ArriveQ,nsTime,ArriveServer,DepartServer,WaitingTime,ServiceTime,ResponseTime
1,0,0.0,3.0,18.634199187386983,18.65296469053802,15.634199187386985,0.01876550315103461,18.65296469053802
1,1,3.4763279073521756,3.0,38.44586354596959,53.16278480700499,31.969535638617412,14.7169212610354,49.68645689965281
1,2,11.448603993275777,3.0,78.90776706858769,81.00102870342349,64.4591630753119,2.093261634835796,69.5524247101477
1,3,11.818228004688786,3.0,91.70716525755799,97.19015071552526,76.8889372528692,5.482985457967273,85.37192271083647
1,4,13.884334231722356,3.0,109.14323175632887,118.9163429584338,92.25889752460651,9.773111202104928,105.03200872671144
1,5,17.71018291152567,3.0,136.08660059688245,146.46479998892661,115.37641768535678,10.37819939204416,128.75461707740095
1,6,19.75536767483222,3.0,197.06635620908148,200.00965926975576,174.31098853424925,2.9433030606742894,180.25429159492353
1,7,24.32817604479361,3.0,221.93521636390588,231.4906191180226,194.60704031911226,9.55540275411674,207.16244307322899
1,8,25.75112932521918,3.0,246.1675147009397,254.13196470484442,217.41638537572052,7.964450003904709,228.38083537962524
1,9,26.95189458179922,3.0,282.73687966418663,294.66598117530174,252.7849850823874,11.929101511115087,267.7140865935025
1,10,28.619588550723233,3.0,342.3958533152795,361.3278186162885,310.7762647645563,18.931965301008972,332.70823006556526
1,11,39.17903115925534,3.0,379.99851804663575,380.2751406709502,337.81948688738044,0.276622624314419,341.09610951169486
1,12,43.65859152954081,3.0,407.3095686917857,423.51779035385516,360.65097716224494,16.208221662069427,379.8591988243144
1,13,44.281462048851914,3.0,471.7026878383325,479.7348223132652,424.4212257894806,8.032134474932711,435.45336026441333
1,14,47.66972313699619,3.0,508.47168553973694,524.9713513480809,457.80196240274074,16.49966580834399,477.30162821108473
1,15,48.315966959117105,3.0,580.4879896376561,596.5661228113495,529.1720226785391,16.07813317369331,548.2501558522324
1,16,53.17602373172278,3.0,624.1771844591125,626.4164278024581,568.0011607273897,2.239243343345568,573.2404040707353
